"covariateEffect","treatEffect","naiveTE","olsTE","rfTE","naiveSE","olsSE","rfSE","naivePower","olsPower","rfPower","accControl","accTreat","accControlRF","accTreatRF"
1.5,1.6,0.776935073009909,0.783445203612413,0.941751265436584,0.135319441482422,0.0957930092750135,0.0696578350941799,1,1,1,0.80915,0.81252,0.88629,0.86009
2,1.6,0.598884006656464,0.606294548854216,0.712970484616807,0.13313838014646,0.0843722093554128,0.0614702448284499,1,1,1,0.84819,0.85052,0.90736,0.88524
0,1.8,1.84023665335688,1.84052032275762,2.60988208870181,0.157798416179352,0.157131050883316,0.139230944082144,1,1,1,0.5191,0.67938,0.74608,0.74887
0.5,1.8,1.5344136997474,1.52896786254655,2.10778184098054,0.152122769056589,0.141483126571445,0.119148201841951,1,1,1,0.65576,0.70055,0.80858,0.77417
1,1.8,1.1786413526091,1.1702272130181,1.4817636842862,0.143146962363456,0.116431961381989,0.0892545106770612,1,1,1,0.74353,0.75636,0.85169,0.81458
1.5,1.8,0.893113561505802,0.886907766695712,1.06395306642583,0.137439370641555,0.097722799328227,0.0726039875321617,1,1,1,0.80442,0.80787,0.88331,0.85139
2,1.8,0.685804859659482,0.683243965542901,0.801269921631428,0.133907978695601,0.0851555028078747,0.0632331180971204,1,1,1,0.84261,0.84601,0.90253,0.87846
0,2,2.00606143560962,2.0052341007947,2.74382304222569,0.165022161506303,0.164266325326502,0.147671031327287,1,1,1,0.52733,0.69141,0.74877,0.75119
0.5,2,1.73122522811666,1.72292377866224,2.32485078129764,0.158627512369963,0.148318005992876,0.12839099563274,1,1,1,0.64746,0.70483,0.80724,0.76904
1,2,1.28272027167058,1.28745553199574,1.63184567439581,0.146012629227696,0.119431143890682,0.0938082637671963,1,1,1,0.73955,0.75531,0.84729,0.80795
1.5,2,0.994060300686015,1.00344667230056,1.20778319289695,0.13938146336818,0.100877456138952,0.0766547779209686,1,1,1,0.794,0.80086,0.87432,0.84248
2,2,0.773579225404377,0.787601677608631,0.927782869124337,0.135270887087395,0.0867696759809243,0.0656949150309693,1,1,1,0.83803,0.83921,0.89806,0.86944
